Player,R1,R2,R3,R4,R5,R6,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,QF,SF,PF,GF,Tot
"Alessio, Steven",2,2,-,6,-,-,3,2,1,,,2,,-,,,,1,,,,,,,19.0
"Bewick, Darren",4,-,1,2,1,1,-,1,2,2,2,5,1,3,1,1,6,2,1,-,2,2,4,2,46.0
"Calthorpe, David",,,,,,,,,,,,-,-,-,,-,1,1,-,,-,-,1,1,4.0
"Cransberg, Peter",-,-,1,,1,,,,,,,,,,,,,,,,,,,,2.0
"Daniher, Anthony",,1,1,,,,1,-,1,-,-,,,,,,,,,,1,,,,5.0
"Daniher, Chris",2,5,4,2,2,1,,,,1,-,2,2,-,,,,,,,-,1,1,-,23.0
"Delaney, Tony",1,-,,,-,,,,,-,,,,,,,,,,,,,,,1.0
"Denham, Sean",-,3,-,,,3,2,-,1,1,1,-,-,5,2,-,1,1,1,2,-,2,1,-,26.0
"Ezard, Alan",,,,,,1,,,,,,,1,1,,,,,,,-,,,,3.0
"Fletcher, Dustin",,-,,1,,-,1,2,,,-,2,1,1,2,2,-,,2,4,,2,-,-,20.0
"Flood, David",,,,,,,-,,1,,,,,,,,,,,,,-,3,,4.0
"Grenvold, David",1,1,1,2,3,-,1,2,-,-,3,3,-,-,2,3,-,1,1,1,2,2,2,1,32.0
"Harvey, Mark",2,1,3,1,4,-,1,-,1,2,2,4,2,1,2,3,1,-,1,3,1,,,2,37.0
"Hills, Paul",-,-,-,2,1,2,2,2,1,,,-,,2,2,3,1,,2,2,1,1,1,1,26.0
"Hird, James",2,-,-,4,2,2,-,1,1,-,1,,,,1,,,,,2,,1,-,-,17.0
"Kickett, Derek",-,-,1,-,3,1,1,-,-,2,-,2,1,1,1,1,-,2,4,-,-,-,-,,20.0
"Kilpatrick, Glenn",1,,,,,,,,,,,,1,,,,,,,,,,,,2.0
"Long, Michael",2,,,1,,,,2,1,1,-,-,,2,1,3,3,1,1,1,-,1,1,3,24.0
"Manton, Glenn",1,,,,,,,,,,,3,2,,,,-,-,-,2,,,,,8.0
"Mercuri, Mark",1,2,-,2,3,1,2,2,-,1,1,,,,,-,-,3,1,-,1,4,-,2,26.0
"Misiti, Joe",1,-,-,3,1,1,4,2,1,1,1,-,1,1,-,1,4,-,-,-,,2,1,1,26.0
"ODonnell, Gary",2,1,1,3,1,1,3,1,3,-,3,4,1,1,2,1,1,2,1,-,3,1,1,3,40.0
"Olarenshaw, Ricky",,,2,-,,2,-,2,2,,,,,,2,2,-,1,3,1,3,1,1,1,23.0
"Plain, Bradley",,,,-,2,,,,,,-,-,1,1,-,,,,,,,,,,4.0
"Ridley, Todd",1,,,1,-,,,,,,,,,,,,,,,,1,,,,3.0
"Salmon, Paul",,,2,1,3,2,,,-,2,3,2,1,2,1,6,4,2,2,5,1,2,3,2,46.0
"Somerville, Peter",,,-,,,1,1,3,,1,3,,3,1,2,3,-,-,-,1,1,3,1,-,24.0
"Sporn, Kieran",-,-,1,,1,,,,,,,,,,,,,,-,,,,,,2.0
"Symons, Michael",,,,1,-,5,1,-,-,3,1,-,1,2,-,1,1,2,1,1,1,-,,,21.0
"Thompson, Mark",,1,1,2,1,1,-,2,5,-,2,-,-,-,2,-,-,-,-,-,,,-,2,19.0
"Wallis, Dean",,1,,,,,,,,-,,,,,-,-,,2,-,1,,,,1,5.0
"Wanganeen, Gavin",4,2,1,-,2,3,1,7,3,3,2,2,3,,2,2,3,3,,4,3,2,8,-,60.0
"Watson, Tim",,,,,,,2,3,1,-,1,1,1,3,1,1,-,-,,,-,-,3,-,17.0
Totals,27,20,20,34,31,28,26,34,25,20,26,32,23,27,26,33,26,24,21,30,21,27,32,22,635.0
Opponent,WC,CA,CW,SY,FO,GE,SK,AD,FI,HW,ME,RI,BB,NM,WC,CA,CW,SY,FO,GE,CA,WC,AD,CA,
