Player,R2,R3,R4,R5,R6,R7,R8,R9,R10,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,EF,SF,GF,Tot
"Ball, Jason",2,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"Barich, Adrian",,,,,1,,,,,,,,,,,,,,,,,,,,,1.0
"Brennan, Michael",,,,5,2,-,1,,,1,2,-,,,,1,2,2,1,3,-,3,1,,1,25.0
"Clape, Matt",,,,,,,,,,,,4,2,2,1,,5,5,5,1,-,,,,,25.0
"Evans, Tony",,,,,,,,4,6,2,2,3,3,,1,1,3,4,,4,1,1,2,4,2,43.0
"Harding, Paul",,3,2,-,,,,,,,,3,3,4,2,9,3,5,2,4,,5,9,4,3,61.0
"Hart, David",,,,,,,,,,,,2,2,1,4,2,,,2,2,-,,,1,,16.0
"Heady, Brett",9,,,2,,,8,-,,,3,,,,,,,,7,6,-,5,6,,4,50.0
"Hepburn, Mark",,,,,,4,6,3,,,,,,,,,3,6,2,3,4,,,,,31.0
"Hynes, David",7,7,3,3,5,-,7,2,2,7,2,-,7,2,9,1,,,,,,,,7,,71.0
"Irving, Dean",2,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"Jakovich, Glen",1,1,3,1,7,9,6,5,4,4,1,,3,5,7,3,3,8,7,7,3,1,4,4,2,99.0
"Kemp, Dean",3,2,3,2,1,1,3,4,1,1,8,2,3,2,2,5,4,1,2,3,-,6,5,3,3,70.0
"Krummel, Brendan",,,,,-,,,,,,,,,,,,,,,,,,,,,
"Laidley, Dani",3,2,2,1,2,4,4,2,1,2,1,2,,,,,2,2,,,,,,,,30.0
"Lamb, Dwayne",,3,1,1,3,3,3,2,2,-,2,2,3,4,2,4,2,3,,1,1,3,-,6,1,52.0
"Langdon, Karl",,3,7,4,4,8,4,3,1,2,1,6,,2,8,1,6,,,8,5,7,8,1,-,89.0
"Lewis, Chris",2,6,6,1,1,1,3,2,5,2,2,1,3,1,5,3,1,3,,,3,3,6,2,2,64.0
"Lockyer, Andrew",,-,1,,,,,,,,,,,,,,,,,,,,,,,1.0
"Mainwaring, Chris",5,3,1,2,6,3,2,2,1,1,4,8,6,6,4,3,3,2,7,6,4,5,4,8,1,97.0
"Matera, Peter",5,-,3,6,,3,5,4,1,,2,2,3,4,1,1,1,3,1,3,1,1,2,7,4,63.0
"McIntosh, Ashley",,,,,,,12,4,3,1,1,-,3,3,1,,,4,4,3,2,-,3,2,2,48.0
"McKenna, Guy",1,2,2,,,,3,,,,,,,-,,,,,4,3,2,5,6,6,3,37.0
"Metropolis, Daniel",,4,-,,3,1,,,,,,,,,,,,,,,,,,,,8.0
"Nichols, Trent",2,,,-,1,2,,,,,,,,,,,,,,,,,,,,5.0
"Peos, Paul",,12,5,2,4,3,,,,,,,-,-,2,2,,,,,,,,,,30.0
"Pyke, Don",1,2,-,,,,,,,,,,,,,,5,2,-,4,1,3,5,-,1,24.0
"Sumich, Peter",,,,6,4,,,8,1,-,2,3,13,8,3,2,3,10,6,2,,2,4,4,6,87.0
"Turley, Craig",-,5,6,-,,,4,2,4,1,3,7,5,5,4,6,7,7,4,5,3,4,5,4,3,94.0
"Turnbull, Ryan",3,-,-,,1,-,,,,,,,,,,,3,,,,,,,,,7.0
"Ugle, Troy",1,,,,,5,5,2,7,1,,,,,,,,,,,,,,,,21.0
"Waterman, Chris",9,4,2,3,6,5,5,4,4,2,2,4,10,4,1,3,,7,2,5,4,3,4,1,4,98.0
"Watters, Scott",2,1,1,1,-,3,2,-,3,1,1,,2,1,2,1,,,1,,1,4,,,,27.0
"West, Robert",,,,,,,,,2,-,,,,,,,,,,,,,,,,2.0
"White, Mitchell",2,,,3,2,2,2,1,1,-,7,3,4,1,3,6,-,2,4,,1,1,2,5,1,53.0
"Wilson, Peter",,,,,,,,,3,5,1,4,2,4,4,7,3,2,1,,,,3,3,1,43.0
"Worsfold, John",2,5,2,7,3,1,4,2,-,1,5,2,3,,,7,3,2,1,-,,4,4,3,3,64.0
Totals,62,65,50,50,56,58,89,56,52,34,52,58,80,59,66,68,62,80,63,73,36,66,83,75,47,1540.0
Opponent,SY,SK,GE,BB,RI,FI,FO,CA,AD,NM,CW,HW,ES,ME,SY,SK,GE,BB,RI,FI,FO,CA,HW,GE,GE,
